"wallet","source","balance"
"EU4TXrmUiEaaF5M2JxzVunZV1UZcKircdunLxHsvRGGJ","saber,quarry","819692992"
"GmRC6EhKtBEcKM1bjCBzamWDy3qmP5z2Kc9tYjQuc2Pn","saber","0"
"DGkeFV1ruRNYoBiXQRfdsAw24jMDgFkQXzdEL58S2tpm","saber","0"
"GodXVwR1m9CnYtq895brfAPPZRMmAFgeW7tQgk3drocv","saber","82105660"
"5WENTPnK4C8oq5wzNGryKCacDRNQQ4KD4bsarWM1hH7K","saber,quarry","0"
"H59QnxbQrhRsLzaw3krhQHrAjKVcKAQTKSYtJ13SaAvA","saber,quarry","2053592"
"AGJrH4QGnM1nmFtQGfJtTBZMCdTxJB76oEJYXo8wiYNd","saber,quarry","0"
"AShfT6Yf6VkGWX4qDfkaLUhmqZ5viHZ9iQMeoaBWcVsP","saber,quarry","0"
"F4VFp4tFTyrQWo9YVjCbPE5eQP27ice2zyGDp2tN2Rkm","saber","6159420"
"EejmB1svFdSFZZjtxLKFyEyB8ih2yiECMTXo447YaPrM","saber,quarry","0"
"6YLKPcv3yKiEE2jdxcFW6DWtHYcXv7zpkk41SaG6L9X1","direct","1992413173"
"41HZutiBErkWcKREKA7oJhi1Mdk1Hafr9HoxzsvF9rNs","direct","1192784164"
"BJV5jbowrbELXfDvfMovaQy4PiRf12pLYHimW9bgzW5X","direct","218402230"
"J7fY6uN2PnCnPqEvD2CLV8WcQacXF4d1HpYYB9zjocAk","direct","119005383"
"i4S99teBn9TyDAXeMtmC3z6BVpHHerhc389JisJwf8G","direct","1000000000"
"8L3F8H2URRK8oFVtAT59FHneJFCzzLKEzkXr9YDRvnBC","direct","100000000"
"Bkmicwj2yeb8r441rAwfWHWono2Gc3PPPuHyHHooiMKH","direct","45000000"
"EJq5rzD8rw5woBQ7zMAyw4D9ncidXdyHbj23B8dvpJ4T","direct","270987997"
"GpHEwVB1Va5juaE4oLBbYAhwwfwMc3GB4QLFDkmMFoWX","direct","50000000"
"D9exHbHvUB4E4GGC7bkwEwddT79pfTGZdQhXzmoXrKMm","direct","1095697967"
"35fX59rVaxNRv6oj475gKeHhL7qFqRetF1VN1K3TtZTh","direct","30940854571"
"4uTVVMkVFpYxpTS3SkPFytUXNEpFP777EzVFemfdauS4","direct","109585069"
"C4b5dqBoyVmR1bYGiJfV56a75enxnQUKP3nMZoausdnu","direct","221026972"
"9Cd35edwMNXNtbPGuYRqd7bfGMSJmZJpb3WBxQzaT1Fv","direct","104526645"
"6jXuebbXUm5uWP4d27G2SDMxVH1kSX8oUQbpVkQmLLWT","direct","1045924491"
"6auWkSk8nTL1XyuRPF5zG3WSwsFvLHDJn3TJWRY2JB3x","direct","996027587"
"APC3MupSU1w8W1MGaAuwQAe6eTjqKkTt7oNL9YcH9J46","direct","109504105"
"BBkoocctRizBPsu2WRHx5xvpd21UHx6ARVEDGVw7sAFa","direct","12121432"
"6voEMoXz6WQFeV9Zzkp2meYSxM3D1bTXacyMiAyYAjcD","direct","105562727"
"DjBKUZp8X8q7Ng6zEeaTme7kMH185onDXSttKdhC18rj","direct","996154083"
"8MiHB5jimETyZrxkgH7F9dVvvCAZXRp8TgRape1bkfmC","direct","111196419"
"6tTaGzyDcp23n8b6dSjkd2fWpieByL7RxU3XJnLFQfqy","direct","118969831"
"Gr7HFT6uRdRhZzzxFJC3jxvAg1uwgACK1juwsAxFvGne","direct","10000000"
"44Rw5S7ciXvQZ5fTYGPxMpSvMw9j3qz1W4JUgzZr8odY","direct","100559453"
"CQwzy6argnjkMkbvxmS3EVc7efchbGGs5p5SKvMzwcgL","direct","1000000000"
"2wBzWL4HNwWLwXNdoZDzTUsMmfLcKKBThW7mtzfV7JpE","direct","4995056674"
