"wallet","balance"
"CHKn8xQWE8tGpp95ZmHeCqjFeagDNnwW913maK87gdGp","404891343"
"DddLmKCaVhAiiJQUhSZqP9RJfLVqggprnzAmeVFGBJ76","385614805528"
"4qgwNbU8xK5APASwDEP92ijbsnffs6foSkCuRvGc1gUX","464202794025"
"5yN8W3WHKmxxsksMsbcw3qLiB2Ah4BR4uhktXGSvUd5a","29133159628"
"66nDMvDYG63ZDgf7ZwRhFQfzDh7HAzERBsgz5DZTV9hY","948683547"
"8Fu6YqLamhqke5UaCEz9zEvtM91YfhkGeL3zH2t3SDbn","28722710"
"HBGXv2kchfKCTrzcarejJeQnD52QWgvPzPHGQxxC573W","2454432"
"Dfj6sgcu23nW9V7smzoUHLqZtQDybjsirQywZosWXszb","97225998"
"B49y6ME4cF4ckuZimHgoSLSb4TgH5fnz55wq9zeg3AKV","80542835"
"8526uPCepabV5ZkZKBFrw3AAHJ3RHZ9bUpM6bGjHPNoq","13839428"
"299hAq214VJwJHexdS1z1PShZTTTg4sj8Vy9Ggj9MAeo","22601947140"
"4ZNbEtxSwho77ZWttQjXKrRCkfMVEs2sLWpVALMkAJhu","53249734"
"FYmoBSEWVCHg98hxQUxCWJFnctaCEVaZEWzjdnFpDuGz","25713417"
"EwvW1wa5nrM2cCHoipZeZHsMZgM4GPAtxSfdpQ15xdSF","161225686932"
"EGqd9xryXUJA1a9swJpdS8PtWMzMUA51XwFYSSE57GFS","37399763"
"GxWZhbhupvGYcS8PYAUXrDVZAZSyUCsizxbg4JVJJuTv","44599767"
"8esPJMNFBywuszuUdFGUBYRAFRek8YSLQPLf1r2L1yTw","1016886614"
"E84pd9j3ht7HEvgYBTMBf9KFm2opbPtM9Mq4s1MjFqsT","310979867"
"8KJosNvu51ki1z4Z3X74AhxJASthRA5w8ZeVzXrhJK8e","161732862"
"A3ECFC6kN8Jd6pY4YVW2wbSX6E1QCi3nyF2ao1JVcAKB","11453315087"
"9BRKNKYmXdwY7C6sQtojKhkL6PGpUYw2q4HVapVBeMSE","653834677"
"EwvW1wa5nrM2cCHoipZeZHsMZgM4GPAtxSfdpQ15xdSF","14984462614"
"B49y6ME4cF4ckuZimHgoSLSb4TgH5fnz55wq9zeg3AKV","72305835"
"FdXLzWchLYjTPRaWGjEqa69HnAfq7mSrTa2CizKYUXNs","867057036"
"Efv1xxV2yQAVQTVF7yV2hjm7hyNJd3k3AJj4BwftpscK","950094974"
"9iZTmiUNudExXbihJ5c7F6WhEhnUYDygQEYqW5ER3PtV","1480607521"
"87N9GogGPhEL6TRxdDuXZRWJAXa6aanPBDpFgiqReJ3n","204883121"
