"wallet","balance"
"AUWg7Vc4QSQYACTx1PfmkEAbzXujStX1SoebW2tjMZw4","5100429081.813660215411507875811650944547"
"GmLmRG1vS1sh3A6Ptm8YP11Wcq6byUdV7iDmGSSMrZUz","1171772883.953306854612907733024487758857"
"AK6BHHeG8fCGjPdJ4YnEByyn9SFWxbx7RVun59AMdWWN","8715196686.856794111171762111034653839921"
"C2p4FNuzXTaPrxsyvy4vLgzBTKfyCKvBvb2wa2EzZ6wV","624733725.0512340256019705277296691955391"
"Hb9M1aLMcGrjpEruPeH8wD1h9orsi5seHnggnNahXzgs","2698996443.673417591148523422735888696357"
"jwcux5G7U9k5kKUz24f1vb1JtMTB21eofWScnsuXSp7","15062611576.5546011953343025063174223062"
"EogmvNkxioTiQGBgAANmGvEvM3FT8c8ym7FQKD1RPQ2d","116909624.2295284935078556552776844503433"
"H8eiwEDgc7kZFFzZuwkG1gLUY427UnRHX4CXK3FFkaSd","1000083165.411242544203724238865830696615"
"8fpppXrtksAHaiXzHX4XoLU8uZjZHGsZbQrHz7QMp7MY","2472310887.630285943105977940909626883834"
"EdGhBvYKTWpa7g5BzYmnaovES5Mbj3Rgs2cAY2uAmBEQ","2143447757.363724463516937310095220531113"
"E5CbydXdMMtdAd7bPnRMCNTuCKMTXuyErLWWXLoHg6cU","1968935911.898299279277650155788872759203"
"AxDCbcjmsKR4ZgjYi1HM7UJYmfvMCvjRYDU76tX8Puum","4153638.178281157390699481959595877858352"
"An7QQ3sYQKYBaXtpJo2HyUF9Yht2J9jr7Sh2vLpk3gTC","97042934.34042668650973607637547456083069"
"BYXoisZ4MTPmJNofZaLcyY8tmkYmmaMMFu4naBtapiZK","100373085.093447685188510214839457681145"
"DiNA3QPvf1pnJK8DvtBo2AGY9HXA4kA5omz9jNtJjkK3","985743121.4537625670303930356350116541384"
"4pwiLy7f8mBj5hDmmm3va4PkiBCeQem2y8ot3aDrHBvw","1798358637.142365630990511790395125925853"
"57pNrt6gPsRLj7QnYvmAe4ahwX9JPy6VV2HcuuuEsrjY","679302988.5893862732364896285962425445412"
"HAFyrNXYwstw8rCEBA4KgwjC7bzpebE49R9sDnGEEzDa","208460780.577923807813952367906421910828"
"51w8auYFgXePJ2dVhWsBSXctuEMP3oc4c9kcoRdSqqYr","559968915.9633418082579681117304239341486"
"2zU56eb6nrTGCE4G4TrJfXPF5DmypDUstEJXHTaEW4Ju","419341273.1530548130474086378290531245615"
"8ErWKbyZydp8csGzc2RnaVrnVb865nXiDNCRzgA7xZhf","1010364166.16540314844101311174804551298"
"auDsYygWBnprKCAY5WVU2MtDencyTCVZu8sDaUtNZpN","13827990153.06718937625404776933798704193"
"9Pp3cRVWMxmP1he7Ef7LwwKpWXUksbbunF7BLfKrzw3o","73523892.53468374334148822828180711572415"
"9EK6hUYp3vrio4JrhcBCSEdzrHK9FcFEssvrYiBFgcFf","736684184.1914074937979145399744842227791"
"Bwb3rSYgvPKiMEMqPimsL9gxD1dYDGBfJhBiarcGunj4","308263726.604999384134013956411797300159"
"BUtjLc7VULxaAqeT8BPP5moNRJHyr8WkrsXEmRtnEaM4","3666853405.209430062811128751034532071644"
"AANCoprzAHZdZfdUHCo5WonrAZubgE4VCSYkuHo5J9RZ","30876861314.01655048733692738252359450528"
"CPHyyceT2fgNrEChhMqaSRFbmRoR6igDDP4ygbR5LZCK","15234223784.56203137904136258099498474681"
"9kxftd4RoJ27SFNZM5ehkHzWqAxFMT1gtJHHdg317pjP","702218721.5323309865576383619432365371723"
